id_linha;produto;modelo;codigo;unidade;categoria_produto;fonte;status_validacao;observacoes
26;Software de Ponto;TopPonto Web;;UN;Software;folder-ponto-web.txt;confirmar_cadastro;Software em nuvem de tratamento de ponto.
27;Bastão de Ronda;Viggia;;UN;Controle de Ronda;folder-bastao-de-ronda.txt;confirmar_cadastro;Solução para controle de rondas.
28;Cancela;Barrier Jetflex Brushless – Barreira Articulada de Alumínio;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
29;Cancela;Barrier Jetflex Brushless – Barreira Linear de PVC;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
30;Cancela;Cancela K1 Jetflex;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
31;Controle de Acesso;Controle de Acesso iDFace - Control iD;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
32;Controle de Acesso;Controle de Acesso iDFace Max - Control iD;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
33;Controle de Acesso;Controle de Acesso iDFlex IP65 Prox - Control iD;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
34;Controle de Acesso;Controle de Acesso iDUHF - Control iD;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
35;Controle de Acesso;Controle de Acesso Torniquete Facial com iDFace Max - Control iD;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
36;Software para Controle de Acesso;Software para Controle de Acesso iDSecure Cloud - Control iD;;UN;Software;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
37;Software para Controle de Acesso;Software para Controle de Acesso iDSecure On-Premises - Control iD;;UN;Software;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
38;Software para Controle de Acesso;TopAcesso;;UN;Software;confirmado_usuario;confirmado;Modelo confirmado pelo usuário.
39;Leitor Facial;Terminal de Reconhecimento Facial da série Pro DS-K1T673DX - Hikvision;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
40;Leitor Facial;Leitor facial Topdata;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
41;Controle de Acesso;Coletor Inner Acesso 2 - Topdata;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
42;Controle de Acesso;Coletor Inner Acesso - Topdata;;UN;Controle de Acesso;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
43;Ponto Eletrônico;Ponto Eletrônico Inner Ponto 4 TOPDATA;;UN;Controle de Ponto;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
44;Câmera;Câmera IP série 1000 com Full Color e IR - Intelbras;;UN;CFTV;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
45;Câmera;Câmera IP série 1000 com Full Color e IR VIP 1430 D FC+ - Intelbras;;UN;CFTV;documentos_conhecimento;confirmado;Modelo confirmado pelo usuário.
